post	target	implied_statement
such a white stereotypical thing to say .	Whites	Whites are prejudiced
its all fun and games as long as the muds are terrorizing whites that is the jew plan but when they turn on the jew all of a sudden they are terrorist	Jews	Jews don't like white people.
its all fun and games as long as the muds are terrorizing whites that is the jew plan but when they turn on the jew all of a sudden they are terrorist	Jews	Jews promote black on white violence.
ah can't have criticism of black people at any price ?	Blacks	Blacks are two-faced and dishonest
#cuckservatives lack the moral courage to confront #radicalfeminism & #lgbtq	conservatives	Conservatives have no backbone.
#cuckservatives lack the moral courage to confront #radicalfeminism & #lgbtq	Conservative males	Conservative males are ineffectual and weak.
liberal democracy = it's not okay to be white .	Liberals	Liberals promote white shame
white people are getting wise to the jews of hollywood and their ways . #movies #tv #dvd	Jews	Jews don't like white people.
white people are getting wise to the jews of hollywood and their ways . #movies #tv #dvd	Jews	Jews are manipulative and deceitful
white privilege . what a fallacy in 2017 . white people largely don't get reduced rent  e	Minorities	Minorities sponge off the system.
white privilege . what a fallacy in 2017 . white people largely don't get reduced rent  e	White people	White people are privileged.
the jew mayor of charlottesville trying to stop free speech . thats what jews do	Jewish people	Jewish people want to suppress free speech
the jew mayor of charlottesville trying to stop free speech . thats what jews do	Jews	Jews are oppressive
ca is the worst state in infrastructure spending  yet pushes to spend $ $ $ on services for illegal immigrants . #immigration	Illegals	Illegals siphon off of the government
ca is the worst state in infrastructure spending  yet pushes to spend $ $ $ on services for illegal immigrants . #immigration	illegal immigrants	Illegal immigrants cost money.
this is part of their auto-victimisation  to justify the jihad ! since ever ! ! !	Muslims	Muslims are manipulative
stop anti white racism stop your hate we have a right to exist	white folks	whites feel racism toward them
stop anti white racism stop your hate we have a right to exist	Minorities	Minorities hate whites
ivy league rich whites rule the democratic party for much longer .	Democrats	Democrats are led by selfish whites.
ivy league rich whites rule the democratic party for much longer .	white people	White people rule the democratic party.
i'm surprised that jihad enablers would not be onto you  but anyway smears are all from you to me  not vice versa	Muslims	Muslims want to take over the world.
i'm surprised that jihad enablers would not be onto you  but anyway smears are all from you to me  not vice versa	Muslims	Muslims supports violence
the way things are going even europe wont be white  dont play stupid	Minorities	Minorities are inferior to whites
white people deserve a homeland . why are you anti-white . whites are becoming minorities in their own countries .	Minorities	Minorities take over everything.
white people deserve a homeland . why are you anti-white . whites are becoming minorities in their own countries .	White people	White people are oppressed and being driven out of their countries
at what point did whites start all this self-hatred ? no other race self-destructs this way .	white people	White people hate themselves.
at what point did whites start all this self-hatred ? no other race self-destructs this way .	white people	white people are being duped
white power brothers	non-white people	non-white people are inferior
white power brothers	white people	White people are superior.
" rt  "" diversity "" "" is code for no more white faces . the white race is the only race that has genuine diversity . #tcot #ccot """	White people	White people are decreasing
" rt  "" diversity "" "" is code for no more white faces . the white race is the only race that has genuine diversity . #tcot #ccot """	Minorities	Minorities are dishonest.
: most people were ok with rebel battle flag  confederate	confederates	pro confederacy
: most people were ok with rebel battle flag  confederate	Minorities	Minorities are inferior races
white nationalism is horrible but jews have a right to a state of their own in palestine ? ? ?	white nationalists	White nationalists are horrible people.
white nationalism is horrible but jews have a right to a state of their own in palestine ? ? ?	Jews	Jews take privileges others don't get.
: what people don't understand is that whiteness and white property are inherently violent and evil  so viol	white people	White people are violent.
: what people don't understand is that whiteness and white property are inherently violent and evil  so viol	Whites	Whites are aggressive and hostile.
jews have always instigated and radicalized other racial minorities against white societies - they admit it here :	Jews	Jews are always starting trouble with other races.
jews have always instigated and radicalized other racial minorities against white societies - they admit it here :	Jews	Jews are subversive
: via tennessee high school students visit mosque  get qur'an - - not visiting church or synagogue	Muslims	Muslims are taking over
hunter  we're all nazis on some level when it comes to defending our family and heritage . some of us just don't realize it yet .	non-white people	non-white people are culture destroyers
hunter  we're all nazis on some level when it comes to defending our family and heritage . some of us just don't realize it yet .	Minorities	Minorities want to destroy white tradition.
cut immigration by at least 75 % ! raise does not do enough !	immigrants	Immigrants are bad for the country.
cut immigration by at least 75 % ! raise does not do enough !	Immigrants	Immigrants drag down a country
"  "" defeat "" "" is the wrong word to use . the bible / quran to some extent is the means to stand up to the jews . """	Jews	Jews are devious
"  "" defeat "" "" is the wrong word to use . the bible / quran to some extent is the means to stand up to the jews . """	Jews	Jews are hostile and oppositional.
if a non-white wants a white person to be fired or exiled etc.all they need to do is claim the white p	white people	White people are easily fired.
if a non-white wants a white person to be fired or exiled etc.all they need to do is claim the white p	non-white people	non-white people are coddled
: black on white murders grow more sadistic in south africa ( video )	black people	Black people kill white people.
: black on white murders grow more sadistic in south africa ( video )	Blacks	Blacks are violent criminals
modern heretic : jew explains plan for white disarmament  genocide #withjewswelose	Jews	Jews wish to dismantle the white race.
modern heretic : jew explains plan for white disarmament  genocide #withjewswelose	Jews	Jews hate white race
yes . white gentiles address the jews no 1 enemy for sure . especially the white males . jews hate us	Jews	Jews don't like white people.
yes . white gentiles address the jews no 1 enemy for sure . especially the white males . jews hate us	Jews	Jews despise whites.
it is good that blacks are driving a wedge between them and white people ! we must make sure our people are aware !	blacks	Blacks cause trouble with white people.
it is good that blacks are driving a wedge between them and white people ! we must make sure our people are aware !	Blacks	Blacks want to harm the white race
i'm glad your white bubble makes you happy . live in it all you want . your loss .	Whites	Whites are separatist.
roy moore can help prevent race-slaughter by planned parenthood & the dnc white elites . his opponent	White progressives	White progressives are against the white race.
roy moore can help prevent race-slaughter by planned parenthood & the dnc white elites . his opponent	Democrats	Democrats support race slaughter of unborn babies
david lane : the white genocide manifesto #swrm #davidlane #fourteenwords via	white people	White people are dying.
david lane : the white genocide manifesto #swrm #davidlane #fourteenwords via	Minorities	Minorities are trying to destroy whites.
"  "" : a majority of latinas and black girls  i cannot stand "" "" """	Latinos and Black girls	Majority of people cannot stand Black or Latinos girls
"  "" : a majority of latinas and black girls  i cannot stand "" "" """	Latinas and blacks	Latinas and blacks are inferior
their moral code only applies to white people . whether they know it or not they are anti-white . they somehow don't notice their own double standard .	Black people	Black people are immoral
only racist if you're white  this just makes you smart .	White people	White people are racist/the only race capable of being racist
: again how islam with all the hate that has can bring peace ? h	Islamic people	Islamic people believe in hate.
: again how islam with all the hate that has can bring peace ? h	Muslims	Islam cannot bring peace
. communist jews created a mind virus that's infecting and killing off the white race	Jews	Jews want to kill white people.
. communist jews created a mind virus that's infecting and killing off the white race	Jews	Jews are devious
hate group ? u want 2 know hate read quran  the hand book of hate	Muslims	Muslims are taught to hate.
hate group ? u want 2 know hate read quran  the hand book of hate	Muslims	Muslims are hateful
another cucked country  suppression of the white man will create havoc in the long run .	White conservatives	White conservatives keep the white race down.
another cucked country  suppression of the white man will create havoc in the long run .	white people	White people cause trouble.
they say they are anti-racist  but what they really are is anti-white ! | more : via	non-whites	Non-whites don't like white people.
they say they are anti-racist  but what they really are is anti-white ! | more : via	Minorities	Minorities are against whites
after micah x .  it needs to go back up permanently . why was it taken down to appease these people ?	Black folks	Black folks have to die
after micah x .  it needs to go back up permanently . why was it taken down to appease these people ?	Black folks	Black folks have to die
bruh go eat your leaves & unseasoned chicken . smh you really tryna come for us . foh #kkk	Minorities	Minorities are primitive
bruh go eat your leaves & unseasoned chicken . smh you really tryna come for us . foh #kkk	white people	White people eat bland food.
" killing spree ? ? like these  "" fine people "" "" """	these folks	more violent group
" 2 million  "" natives "" "" dont get dibs on all of north america . white settlers built what refugees are flocking to . """	white people	White people build up countries.
" 2 million  "" natives "" "" dont get dibs on all of north america . white settlers built what refugees are flocking to . """	Refugees	Refugees want to take over America.
white supremacist don't like jews are black ppl . trumps family is jewish . trump helps african american	Jews	Jews are against the white race
white supremacist don't like jews are black ppl . trumps family is jewish . trump helps african american	white people	White people don't like Jews or blacks.
"  "" american "" "" means nothing . whites need to start looking out for themselves . u want "" "" america "" "" to end up like south africa ? """	Minorities	Minorities degrade their own societies
"  "" american "" "" means nothing . whites need to start looking out for themselves . u want "" "" america "" "" to end up like south africa ? """	white people	White people need to stick together.
" rt are  "" bronies "" "" the future of white nationalism ? #gay #newright """	white people	white people are gay and like my little poney
" rt are  "" bronies "" "" the future of white nationalism ? #gay #newright """	Minorities	Minorities are substandard
have you ever seen a race with no competitors ? black / white are invalid colours of stigmas & power .	blacks	blacks are not competitive
there are muslims who do not want to see sharia or jihad against the infidel in ameri	Muslims	Muslims are peaceful.
jared taylor is an #antiwhite #cuckservative and his supporters are traitorous trash .	Anti-white supporters	Anti-white supporters are trash.
jared taylor is an #antiwhite #cuckservative and his supporters are traitorous trash .	Conservative males	Conservative males hate whites
more white genocide on the tl smh	Minorities	Minorities want to wipe out the white race.
" to take seriously notion of minority  "" power "" "" is big error . white elites progs far more "" "" realist "" "" about race """	Minorities	Minorities are ineffectual.
" to take seriously notion of minority  "" power "" "" is big error . white elites progs far more "" "" realist "" "" about race """	white progressives	white progressives are not racists
the poorest black countries are the ones where white supremacy and colonialism left the smallest imprint .	Blacks	Blacks need whites to lead them
the poorest black countries are the ones where white supremacy and colonialism left the smallest imprint .	white people	White people are good for black people.
those anti-whites want the white race extinct . plain and simple .	Progressives	Progressives are against whites
those anti-whites want the white race extinct . plain and simple .	white people	White people are dying out.
then go back to mexico .	Mexicans	Mexicans should go back to Mexico.
then go back to mexico .	Mexicans	Mexicans belong in Mexico
it's fundamentally different . whites are better off without blacks and jews ; both parasites on white civilization	Black folks and Jewish folks	Black folks and Jewish folks are parasites on white civilization
it's fundamentally different . whites are better off without blacks and jews ; both parasites on white civilization	white people	White people are better than Jews and blacks.
the #unitedstates was a white nation founded by #whitepeople  but our race has failed thus far at defending it . #family #culture #survival	white people	White people founded the nation.
the #unitedstates was a white nation founded by #whitepeople  but our race has failed thus far at defending it . #family #culture #survival	non-white people	non-white people are outsiders
for some reason you are so full of hate . that is what is not understood . saying we are white privileged . who you follow shows who you are . i would not be proud .	white people	White people are privileged.
for some reason you are so full of hate . that is what is not understood . saying we are white privileged . who you follow shows who you are . i would not be proud .	Minorities	Minorities are anti-white
" jews  splc hysterically demonize  "" racist "" ""  "" "" white supremacist "" "" websites : """	Jews	Jews attack whites
" jews  splc hysterically demonize  "" racist "" ""  "" "" white supremacist "" "" websites : """	Jews	Jews are racist.
so supremacy unacceptable and show be replaced with broad white nationalis	non-white people	non-white people are inferior
so supremacy unacceptable and show be replaced with broad white nationalis	white nationals	White nationals are better than white supremacy.
nationalism is in . now it's up to us to convince people that non-white america doesn't want and will not want a part of it	Minorities	Minorities exclude whites
nationalism is in . now it's up to us to convince people that non-white america doesn't want and will not want a part of it	white folks	anti-white
whites don't need anyone's permission to take care of themselves .	Minorities	Minorities oppress whites
whites don't need anyone's permission to take care of themselves .	white people	White people need to take care of themselves.
they are white and polish . all you are saying is america is less picky about which white people we get .	Americans	Americans are unintelligent
they are white and polish . all you are saying is america is less picky about which white people we get .	Americans	Americans only want immigrants if they're white
why indeed ! they want to impose islam on all of us . rep is a racist .	Muslims	Muslims want to convert all the non Muslims
why indeed ! they want to impose islam on all of us . rep is a racist .	Islamic people	Islamic people are racist.
in a nutshell  if our government defends us and works for our interests  it's deemed hostile to a jewish minority .	Jewish people	Jewish people are the minority.
in a nutshell  if our government defends us and works for our interests  it's deemed hostile to a jewish minority .	Jews	Jews consider themselves better than the rest of the community
uk : white woman punched to the ground and spat on in racist attack by non-white thug | more :	Minorities	Minorities are brutal aggressors.
uk : white woman punched to the ground and spat on in racist attack by non-white thug | more :	non-white people	Non-white people are thugs.
no . white pride isn't made up . white privilege is made up .	white people	White people have no privileges.
no . white pride isn't made up . white privilege is made up .	Minorities	Minorities are dishonest about whites
no pakistani should ever try to come to india  they can go to mosul or karbala hq of pigs	Indians	Indians don't like people from Pakistan.
no pakistani should ever try to come to india  they can go to mosul or karbala hq of pigs	Pakistanis	Pakistanis are second class citizens
it is see in germany they say seig heil and america its white power i stick with germans their more organize	white people	White people think they are better than other races.
it is see in germany they say seig heil and america its white power i stick with germans their more organize	Minorities	Minorities are subpar compared to whites.
the whole point of conservatism is to suppress white racial consciousness .	non-white people	non-white people are inferior
the whole point of conservatism is to suppress white racial consciousness .	Conservatives	Conservatives want to keep whites down.
sign the petition ! dont let #antifa get away with their terrorism !	antifa	Antifa are terrorists.
ur argument about white christians killing people is lame . sharia law is dangerous	Muslims	Muslims are dangerous
ur argument about white christians killing people is lame . sharia law is dangerous	white Christians	White Christians are killers.
that's why white conscientious has exploded . whites are realising this is an existential mom	Minorities	Minorities are inferior
this is the second time in american history white man is minority . america is not white man's homeland . go back to europe .	white people	White people should go back to Europe.
this is the second time in american history white man is minority . america is not white man's homeland . go back to europe .	Whites	Whites try to take over wherever they go.
just locate the string of mangled and wounded and dead white people  and the lost muslims should be nearby .	msulims	muslims kill
just locate the string of mangled and wounded and dead white people  and the lost muslims should be nearby .	Muslims	Muslims are violent
dr . david duke : will the white race survive ? ( video ) #flegs #onthehill #tweetni via	Minorities	Minorities are destroying white culture
dr . david duke : will the white race survive ? ( video ) #flegs #onthehill #tweetni via	white people	White people are dying out.
15 year old white danish girl blinded by african muslims in racially motivated hate crime | read via	Muslims	Muslims are violent.
15 year old white danish girl blinded by african muslims in racially motivated hate crime | read via	Muslims	Muslims commit violence.
you hate us cause se you can't be us #unitetheright	Liberals	Liberals wish they were republicans
not just the brits but eurocucks and the elitist white cucks here too .	Europeans	Europeans are not masculine
not just the brits but eurocucks and the elitist white cucks here too .	White people	White people think they're superior to everyone else
well he they would be born white . and most jews were born white .	Jews	Jews deny their heritage
well he they would be born white . and most jews were born white .	Jews	Jews are white.
why do we care what jews want or don't want ? they are actively at war with the white race and always have been .	Jews	Jews declare war against the white race
why do we care what jews want or don't want ? they are actively at war with the white race and always have been .	Jews	Jews don't like white people.
let's bring that up to 100 per cent for the non-whites  0 per cent for the whites .	Minorities	Minorities take unfair advantage
swedish patriots seek to spread racial ideology in norway via	Swedans	Swedish are ideologists
swedish patriots seek to spread racial ideology in norway via	Minorities	Minorities are inferior to whites
people are getting more tribal and racially aware every day  mainly due to leftists going all-out anti-white  and pro-white-genocide . thus .	Progressives	Progressives are against whites.
people are getting more tribal and racially aware every day  mainly due to leftists going all-out anti-white  and pro-white-genocide . thus .	Leftists	Leftists don't like white people.
trump / taylor 2016 : let's make america hwhite again !	Minorities	Minorities are substandard
trump / taylor 2016 : let's make america hwhite again !	white people	White people are good for America.
yes . those immigrants are getting paid to live here and most americans are struggling to live .	Immigrants	Immigrants are moochers.
yes . those immigrants are getting paid to live here and most americans are struggling to live .	Immigrants	Immigrants are treated better than Americans.
god forbid he celebrate a white person  that would be racist . hate this country anymore .	White people	White people celebrating other white people is racist
god forbid he celebrate a white person  that would be racist . hate this country anymore .	non-white people	non-white people are favored
: what is good for the white race is the ultimate good .	Minorities	Minorities are subpar compared to whites.
: what is good for the white race is the ultimate good .	white people	White people are more important than others.
disingenuous white liberals face black crimedilemma	Black people	Black people are criminals
disingenuous white liberals face black crimedilemma	blacks	Blacks are criminals.
jews are doing to whites what they did to palestinians . palestinian genocide  then white genocide .	Jews	Jews don't like white people.
jews are doing to whites what they did to palestinians . palestinian genocide  then white genocide .	Jews	Jews are destroying white culture
" uk's births are 65 %  "" white british "" ""  majority ethnic english  alabama's are 60 % white  majority ethnic """	White people	White race is decreasing
liberal scientists developing methods to make white people less resistant to non-white invasion #swrm #whitegenocide	Immigrants	Immigrants are invaders
liberal scientists developing methods to make white people less resistant to non-white invasion #swrm #whitegenocide	Liberals	Liberals promote minorities taking over.
great tweet  lol rt : what disgusting anti-white trash . #wakeup #whitepeople #wpww	Progressives	Progressives are against whites
great tweet  lol rt : what disgusting anti-white trash . #wakeup #whitepeople #wpww	white people	White people are trash.
german and indeed all white race is to be saved from barbarians  even if it involves use of nuclear weapons	Minorities	Minorities are primitive and brutal
german and indeed all white race is to be saved from barbarians  even if it involves use of nuclear weapons	white people	White people need to be saved.
being white / mex i don't think i meet the requirements for but i support them . cause living in a white society is best .	White people	White people are superior to other races
being white / mex i don't think i meet the requirements for but i support them . cause living in a white society is best .	racial minorities.	living in a white society is best.
no need 4 jews meddling in white affairs . you've done enough in #cville & the rest of th	Jews	Jews are nosy.
no need 4 jews meddling in white affairs . you've done enough in #cville & the rest of th	Jews	Jews are interfering
" of course . unlike many white racists  we aren't  "" mindless haters . "" "" the jewish "" "" finance shark "" "" isn't any worse than a white one """	Jews	Jews are greedy money lovers.
" of course . unlike many white racists  we aren't  "" mindless haters . "" "" the jewish "" "" finance shark "" "" isn't any worse than a white one """	jewish	Jewish people are good with money stereotype.
they are both jewish supremacist  anti-white and anti-christian hate groups .	White people, christians	White people and Christians are inferior to Jewish people
yet the only arrest made was a liberal  bernie voting  moslem . not one white trump voting racist . makes you think	Muslims	Muslims are bad.
yet the only arrest made was a liberal  bernie voting  moslem . not one white trump voting racist . makes you think	Republicans	Republicans are racists and don't get bothered by police
bascially  your policy is to replace your own people with foreigners because you are self hating leftists	Immigrants	Immigrants displace whites
white genocide ? your buddy glenn miller murdered three white people including a teenage boy	Whites	Whites are murderers
white genocide ? your buddy glenn miller murdered three white people including a teenage boy	white people	White people are being killed.
islamists recruit refugees arriving in germany security agency #syrianrefugees #germany #islamicstate	Muslims	Muslims promote terrorism.
islamists recruit refugees arriving in germany security agency #syrianrefugees #germany #islamicstate	Islamists	Islamists recruiting followers
that is why you don't trust these companies they tamper with your dna results just to be politically correct . dna testing companies admit adding fake african ancestry to white profiles in order to screw with racists via	Corporate leaders	Corporate leaders are dishonest
white man march 2.0 #whitemanmarch	Minorities	Minorities are lower than the white race
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .	Jews	Jews are minions that are against white people.
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .	Anti-white people	Anti-white people are haters.
i very much doubt you are white person of european descent . from	People of color	People of color pretend to be white
only in america can a muslim bonnie and clyde terrorist team kill and the white man gets blamed for it .	Muslims	Muslims are violent criminals
only in america can a muslim bonnie and clyde terrorist team kill and the white man gets blamed for it .	Muslims	Muslims are coddled
do they never condone the actions jihads do based on quran i just don't get it	Muslims	Muslims are violent
" an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """	Jews	Jews hate white people
" an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """	Jews	Jews hate whites.
nah not really i once let a black kid beat me in cod just so he'd feel better about himself	Blacks	Blacks have low self-esteem.
white protestants  the people who founded the country need to leave the catholics & jews behind .	catholics & jews	catholics & jews can't be real Americans.
white protestants  the people who founded the country need to leave the catholics & jews behind .	white people	White people founded the country.
innocent white girl shot to death for fun by black racist killers | read more : via	black people	Black people kill white people.
innocent white girl shot to death for fun by black racist killers | read more : via	Blacks	Blacks love violence.
white nationalist are not violent . white supremacists are . big difference . nationalist live our co	Minorities	Minorities are inferior.
white nationalist are not violent . white supremacists are . big difference . nationalist live our co	white people	White people think they are better than other people.
amna  you hate whites . why do you live in a white country ? please repatriate yourself to your country of origin .	white people	white people are racist towards white people too
amna  you hate whites . why do you live in a white country ? please repatriate yourself to your country of origin .	Immigrants	Immigrants are hypocrites
youre a black nationalist they just add white to it to make it sound like white supremacy .	Black people	Black people think they're superior to white people
you people are disgusting . never in my life have i been ashamed to be white until today . #trash	Whites	Whites are trashy
you people are disgusting . never in my life have i been ashamed to be white until today . #trash	white people	White people are trash.
" the realist report : transsexual tv show  "" good for the jews "" "" """	Jews	Jews like Transsexual
" the realist report : transsexual tv show  "" good for the jews "" "" """	Jews	Jews will do anything for money.
a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .	jewish people	jewish people hate muslim people.
a racist  islamophobic  zionist kook like you should love muslims like . they're your undeclared allies  embrace them .	Jews	Jews hate muslims.
you set the rules of engagement  i met them . yes i believe my charity is better because it helps human beings without prejudice . i . e . is a white supremacy organization . not a white equality organization .	white people	White people think they are better than other races.
i am not a white supremacist . i am a race realist . no race is superior  we are different . blacks are physically superior  asians mentally .	Blacks	Blacks are inferior mentally.
i am not a white supremacist . i am a race realist . no race is superior  we are different . blacks are physically superior  asians mentally .	blacks	Blacks are stronger than asians.
#islamistheproblem #bansharia . #marchagainstsharia june 10  2017 9am - 2pm	Muslims	Muslims are enemies
#islamistheproblem #bansharia . #marchagainstsharia june 10  2017 9am - 2pm	Islamic people	Islamic people are a problem.
now follow the letters up with a show of force  ice raids and clean those sanctuary cities out of the illegals .	Illegals	Illegals don't belong in the country.
now follow the letters up with a show of force  ice raids and clean those sanctuary cities out of the illegals .	Illegal immigrants	Illegal immigrants are taking over big cities.
" poor little president victim . did you only support the  "" black "" "" part of him ? pretty sure the "" "" white "" "" part was racist . """	Blacks	Blacks are bigots.
" poor little president victim . did you only support the  "" black "" "" part of him ? pretty sure the "" "" white "" "" part was racist . """	whites	whites are racists
why ? what have taking in refugees done for germany / eu ? she must b getting side money to destroy europe	Immigrants	Immigrants are destructive
why ? what have taking in refugees done for germany / eu ? she must b getting side money to destroy europe	Immigrants	Immigrants sponge off others.
christian are worshipping a god that commanded people to kill gay and apostate ! ! be skeptic toward your bible folk .. ! ! !	Christians	Christians hate gays
christian are worshipping a god that commanded people to kill gay and apostate ! ! be skeptic toward your bible folk .. ! ! !	Christians	Christians hate gay people.
whites are unfortunately the least #racist people ... margaret mutu says she can't be racist  because she is not white	white people	White people are not racist.
whites are unfortunately the least #racist people ... margaret mutu says she can't be racist  because she is not white	White people	White people are racists
" rt total clown world we live in - non-whit invaders are welcomed into white countries  & white women end up  "" falling in love "" "" with them . """	non-white people	Non-white people love white women.
" rt total clown world we live in - non-whit invaders are welcomed into white countries  & white women end up  "" falling in love "" "" with them . """	Minorities	Minorities take from others.
i am an ardent supporter of nazism  i belong to the ancient aryan race  i live in india  i would do anything for white supremacy	Minorities	Minorities are subpar races of people
i am an ardent supporter of nazism  i belong to the ancient aryan race  i live in india  i would do anything for white supremacy	white people	White people are better than other races.
omg the royals have been brainwashed . happened once they denied their christian beliefs . every person ever alive can fit into tx w / space	Rich people	Rich people are heathens
. on #periscope : the cuckturians assaulting white nationalists : the latest	conservatives	Conservatives hate white nationalists.
. on #periscope : the cuckturians assaulting white nationalists : the latest	White people	White people are cucks
antifa hate whites . many are self hating white psychopaths ...	Antifa	Antifa is hateful.
antifa hate whites . many are self hating white psychopaths ...	Progressives	Progressives subscribe to hatred.
"  "" : african immigrants brutally beat white people in melbourne home invasion via "" "" """	Black immigrants	Black immigrants are vicious and violent
"  "" : african immigrants brutally beat white people in melbourne home invasion via "" "" """	African immigrants	African immigrants hate white people.
" another jew pretending to be white to lecture us about  "" racism "" "" - these people need to be deported to israel """	Jews	Jews act like they are white.
" another jew pretending to be white to lecture us about  "" racism "" "" - these people need to be deported to israel """	Jews	Jews are arrogant and dishonest
i have lived this a know what is in-store for all whites . i've seen our woman raped and brothers beat with 2x4s . blacks and browns hate us .	white people	White people are killed and raped.
i have lived this a know what is in-store for all whites . i've seen our woman raped and brothers beat with 2x4s . blacks and browns hate us .	Blacks	Blacks are dangerous criminals
white genocide accelerates in #germany : three large german cities to tip non-white #auspol via	Minorities	Minorities are taking over society
white genocide accelerates in #germany : three large german cities to tip non-white #auspol via	white people	White people are dying out.
u tell us . ur the one who's pro-rape of white wmn	White women	White women are deserving of rape
u tell us . ur the one who's pro-rape of white wmn	minorities	minorities are violent
where were the protests in milwaukee when five blacks were killed just prior to the young man who the cops killed ?	Black people	Black people are hypocrites
where were the protests in milwaukee when five blacks were killed just prior to the young man who the cops killed ?	blacks	Blacks are violent.
the chicoms seemily care more about their people's wellbeing than european nations about their own ? bizarre .	Chinese	Chinese are dishonest.
the shrine was put up by a white supremacists hate group .	white people	White people hate others.
the shrine was put up by a white supremacists hate group .	Whites	Whites are racists
how many americans & their dreams must die @ th hands of illegal aliens b4 we secure our borders	Illegal aliens	Illegal aliens shouldn't be let into the country.
how many americans & their dreams must die @ th hands of illegal aliens b4 we secure our borders	Illegals	Illegals are dangerous
anarchy bring india down to egypt / syria / afghanistan like situation . we can't allow this media can also see thru this yet silent	Indian journalists	Indian journalists are dishonest.
hi can i get a couple of grammes of your white power ?	white people	White people think they are better than other races.
hi can i get a couple of grammes of your white power ?	Minorities	Minorities are substandard peoples.
you can't take me because i'm not white . but i'm the best pureblood the filipino race has ever produced .	White people	White people are worse than Asian people
typical jew . what do you expect from them ?	Jews	You can't expect anything from a Jew.
typical jew . what do you expect from them ?	Jewish people	Jewish people feel they are superior to others
look  as long as you goys don't point out that jews get zionism & israel  and we suppress white nationa	jews	Jews are zionists
look  as long as you goys don't point out that jews get zionism & israel  and we suppress white nationa	Jews	Jews are against whites
: negroid spree shooter wanted to kill as many white people as possible : #wr via	black people	Black people want to kill white people.
: negroid spree shooter wanted to kill as many white people as possible : #wr via	Blacks	Blacks are violent criminals
( ( ( white people ) ) ) *	Jews	Jews are not white
violent white guy ! ! !	Whites	Whites are aggressive and hostile.
violent white guy ! ! !	white men	White men are violent.
discussion time : morality and the potential destruction of white civilization via	Minorities	Minorities want an end to the white race
discussion time : morality and the potential destruction of white civilization via	white people	White people are in danger.
the past glories of america that you feed on were built by a 90 % white p	White people	White people built America
the past glories of america that you feed on were built by a 90 % white p	white people	White people built America.
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots	white people	White people kill black people.
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots	Muslims	Muslims are given special treatment
don't let the refugees in if australia isn't letting them we shouldn't either send them back to there country where they belong ..	refugees	Refugees should stay in their home countries.
don't let the refugees in if australia isn't letting them we shouldn't either send them back to there country where they belong ..	refugees	Refugees need to go back to their country
" who are your people ? what did you do to help  "" your people "" "" in advncing the human race  besides just having pale skin ? """	Whites	Whites are incompetent
allah of the muslims is not my allah .	Muslims	Muslims are mislead
allah of the muslims is not my allah .	Muslims	Muslim worship a false God.
but hate speech and violent acts of hate perpetrated against white people is just fine with the scumbag	white folks	hate speech and violence against whites
but hate speech and violent acts of hate perpetrated against white people is just fine with the scumbag	Minorities	Minorities condone hatred
" has that silky smooth voice .  "" huwhite people "" "" """	Minorities	Minorities are second class
after #sanjose  #nevertrump sides with mexican nationalists attacking their own people ...	Mexican nationalists	Mexican nationalists hate Mexicans.
after #sanjose  #nevertrump sides with mexican nationalists attacking their own people ...	Mexicans	Mexicans are violent
the white man's revolution of 2016 via	Minorities	Minorities are inferior to whites
so you'd like to have your own land of white christians  is that the end-game goal ?	white Christians	White Christians want their own country.
so you'd like to have your own land of white christians  is that the end-game goal ?	White christians	White christians are racists
blood & honour - white aryan resistance t-shirt from the white resister : via	People of color	People of color are inferior to white people
blood & honour - white aryan resistance t-shirt from the white resister : via	non-white people	non-white people are enemies
the saudi's are funding mosque buildings all over the world - britain is being overrun with them .	Muslims	Muslims are invaders
my 4 reasons to defund amnesty	Illegals	Illegals are second class world citizens.
#italy jihadi talked about fastening his belt to reach heaven #islam #islamophobia #tcot	Muslims	Muslims are killers.
#italy jihadi talked about fastening his belt to reach heaven #islam #islamophobia #tcot	Muslims	Muslims want war
jewish activists welcome the scandals slowing the trump agenda	Jewish activists	Jewish activists cause scandals.
jewish activists welcome the scandals slowing the trump agenda	Jewish people	Jewish people are anti-Republican
dems hate white people ... just look at the candidates for dnc head .. they actually say it !	non-white people	non-white people are hateful
dems hate white people ... just look at the candidates for dnc head .. they actually say it !	democrats	Democrats hate white people.
a huge error-racial groups are loyal to their blood first . it's natural for a racial group to strive for domination .	Minorities	Minorities are self-serving
" rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """	Non-whites	Non-whites are violent.
" rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """	Minorities	Minorities commit violence to get their way.
i oppose it for heathy white babies . in that instance  a white ethno-state would have a clear interest in seeing a birth .	non-white people	non-white people are inferior
